Review,Rank
캐릭터가 너무 많이 등장해서 요란하고 정신없다. 러닝타임도 너무 긴 느낌.. 액션은 시원시원하고 좋았다. 그러나 뜬금없는 영어와 중국어 등장에 약간은 오글거리는 면이 있다. 15세 관람가인데 생각보다 더 잔인한 편....,8
스토리가 1편 재탕 느낌이 강해서 뻔하고 대사나 설정이 오글거림.. 1편은 그래도 신선함과 캐릭터의 매력이 있었는데 그것마져 없어지고 액션신은 CG만 가득하고 쓸데없이 욕만 난무함 ,5
지루했지만..지루했어요 ,7
1에 비해 너무 재미없어요. 3도 이런식이면 안볼듯.. ,8
아오글거려 ,1
내가 안타까워서 글쓴다 마녀1이 흥한이유가 뭐냐 빠른전개 지루하지 않음 마동석급 시원한 액션 깔끔한 스토리 이건데 2편은 다시 첨으로 돌아가서 어쩌고 저쩌고 쓸때 없는 장면 너무 많고 질질끌고 시작부터 대사도 없고 ...,2
너무 실망입니다. 1편에 비해 너무 스토리가 없어요... ,2
마녀1을 재미있게 봤다면 볼만한 영화. 스토리가 허술하고 시즌3를 위한 빌드업인게 느껴지긴 하지만 액션도 괜찮고 시간가는 줄 모르고 봤어요. ,8
"Good : 액션, 연출 Bad : 오글거리는 대사, 남발하는 욕 ",4
마녀 3 예고편을 이 돈들여서 만들 생각했냐.. 알맹이 없는 대참사 수준의 속편 ,3
총체적난국어이없어서 잠도 안옴혼자봤으면 중간에 나왓을듯 ,1
"영화의 흥행 포인트1. 감동과 연출2. 연기3. 스토리 전개마녀1을 보며 한국 영화가 많이 좋아졌구나 하는 생각을 했습니다.신선한 아이템,독특한 액션씬과, 연기 같지 않은 일상의 살아가는 듯한 모습 속의 감동 및 연...",1
이종석 왜 나왔지??? ,6
액션이나 마녀 시리즈의 방대한 스토리가 점점 풀려나가는게 보이지만.. 너무 과한 욕설들과 대사들이 부담스러울 정도 ,7
마녀1이 너무 압도적이었다 ,6
1편을 매우 좋아했던 사람으로서 아쉬움은 존재하지만 그럼에도 3편이 기대된다. ,8
그냥 보통이에요~다음 후속편이 기대되네요3편은 더 완성도 있게 만들어 주세요 ,8
마녀1 기대하고 보시면 안됩니다..ㅎ ,6
배우들은 볼만하고 좋았으나 스토리가 너무 아쉬웠고 외국어도 너무 과하다 싶을정도로 많고 액션씬 가기 전까지 스토리가 조금 지루.결과적으로 마지막 김다미님 임팩트가 강해서 그런지 마녀3 예고편처럼 느껴짐 중간에 액션씬...,5
초중반 지루 후반액션은 괜찮아요. ,7
마녀 주인공들은 귀여운게 전통인가 ㅎㅎ이번 주인공도 많이 귀엽네요 ,8
"감독 특유의 어두운 분위기, 신선한 공포, 잔혹함. 어느 것 하나 살리지 못했다 ",6
"평점이 왜 이리 낮은지? 액션은 전편보다 훨씬 좋아졌고, 세계관도 넓어져서 좋았는데? 개그가 좀 약한거랑 인물들 티키타카가 약한거? 짧게 끊는게 아니라 좀 늘어지는 티키타카랄까? 단점도 있지만 이 정도 평점 받을만한...",10
각본의 박훈정이라는 말도 이제 옛말 ,6
"마녀 1편은 참 괜찮았는데, 2편은 뭐가 조금씩 부족하고 어설프고…예산을 아끼기 위해 스토리를 다시 썼다는 루머를 들었는데 그때문에 완성도가 좀 떨어지는 건 아닌지… ",5
드래곤볼 실사화 .. 한국에서 만든 ,10
초반엔 좀 지루함이 있었는데 중반 이후부턴 재밌었어요 잘 봤습니다. ,10
쿠키있는거 세상 사람들 다 알아줘라 제발 ㅠ 쿠키까지 봐야 미녀 제대로 본거임 ㅠㅠ ,10
그냥저냥 볼만했습니다 ,8
와 영화 겁나잼있어요 시간가는줄모르고 집중해서봤어요 ,10
1편과 다른걸 기대하는 관객에겐 실망을 ,5
1편이 임팩트랑 더 재미있었지만2편 재미있게 봤어요. 김다미 등장씬 ㄷㄷ마녀3 빨리 나왔으면 좋겠네요 ,10
중간 중간 불필요하다고 느껴질 정도로 과한 CG 그리고 욕설연기력으로 이끌고 가는 스토리.. 1과 딴 영화 같았고 중간에 나가고 싶었으나마녀1에 대한 애정이 있기에 끝까지 봤고 후반은 괜찮았다뭔가 쿵푸허슬(?) 같은...,3
평점 웬만해선 안 남기는데 너무 지루하고 중2병 걸린듯한 대사가 난무하고 중국 무협영화 같은 연출. 이 배우들 데리고 이 정도 수준의 영화가 나오는게 안타깝네요. ,1
2편을 이때까지 기다렸는데....또 3편의 예고편을 본 것 같은 느낌 ,4
돈을 많이 썼으면 촌스럽지나 말던가촌스러울거면 가오나 잡지 말던가 ,1
마녀1 재밌게 봐서 2도 보러 갔다 왔당 같은 세계관 공유해서 이번 것도 재밌게 봤음 시리즈물 좋아요 ,10
"1편 재미있게 보고 기대하다2편 개봉날 영화보고온 사람들 리뷰 찾아보면서왜 이렇게 호불호가 갈리지했는데..호는 알바들이고 불이 관람객이였네짜증나는 욕설들, 어설픈 cg, 가출한 개연성진짜 마지막 10분 액션만 보고오...",4
중학생들 보는 유치한 삼류 액션 영화 ,6
1편이 낫습니다. ,6
액션은 지립니다 ,10
개인적으론 1편에 못미치지않나 생각합니다 ,5
"영화의 모든 자본력을 액션에 쏟아부었는지 나머지는 엉성하기 그지없습니다. 가장 견디기 힘들었던 것은 장면장면마다 과도한 허세와 겉멋, 말끝마다 붙는 욕설. 개그씬으로 넣은듯했지만 하나도 와닿지 않는 웃음포인트. 그리...",4
우선 마녀1 굉장히 재밌게봤고 평점 때문에 기대 안하고 봄. 사실 마녀를 너무 좋아하기 때문에 재미 없어도 평타는 칠거라 확신했음 그리고 확실히 재밌게 보는데 성공함ㅡ..초반은 약간 드라마 느낌이라 확실히 루즈할 수...,10
특수효과랑 액션 부분 나올 떄 이상하게 피식피식 하게 되더라구요... 뭐라 해야하나 이게 범죄도시 봤던 느낌하고는 또 다르니까... 마치 지구용사 벡터맨 같은 곳에서 나오면 괜찮을거 같은 것들이 확실하게 레벨업 되서...,8
혹평 속에서도 그럭저럭 재밌게 봄 ,10
개재밌누 3편이 더기대되네   구자윤이랑 투톱으로 본사박살내러갈거같네 ,10
영화내내 고무줄 늘리듯 질질끄는 느낌이 심했고 마녀3는 전혀 기대가 안 가네요 ,1
1점도 아깝다… 1점은 1편을 향한 예의… 욕쟁이 영화인가.. 1편 김다미 친구가 최우식한테 욕설하는 장면 인기 있었어서 욕설 더 넣은듯 ,1
서은수의 재발견 ,10
시원한 액션만 . 근데 대사가  완전 이상하던데 ,6
액션이 진짜 다했다 꼭보세여 ,8
"마녀3 나오길 바래본다,, ",8
나름 재밌게봤어요 스토리가 좀 아쉽 ,8
"배우들 연기 빼곤 볼게 없었던 영화 음식으로 평하자면 잡탕 마라탕 그런느낌 온갖거 다 집어넣었는데 다보고나면 그래서 ,,,뭐야?이런느낌 ",1
"마녀 1편을 영화관에서 한번  VOD로 구입해서 두번 정도 봤습니다.  엄청 신선하고 그런 느낌은 아니였고, 어렸을적 액션 영화를 보면서 느꼈던 카타르시스? 참았다가 빵 터지는 그 희열을 오래만에 느껴보니  기분이 ...",8
글쎄요 불필요하게 자잘한 배역이 너무 많아요 ,4
